P_ID,PName,Category,Specs1,Price
PD_21000001,Threat,Fashion,test,332.77
PD_21000002,Former,Home Appliance,successful,225.24
PD_21000003,Activity,Books,score,371.94
PD_21000004,Friend,Home Appliance,performance,294.26
PD_21000005,Attention,Home Appliance,conference,71.29
PD_21000006,Tend,Electronics,affect,106.08
PD_21000007,Pattern,Home Appliance,dinner,354.91
PD_21000008,Property,Books,performance,276.41
PD_21000009,Company,Fashion,about,162.23
PD_21000010,Bank,Fashion,learn,464.1
PD_21000011,Once,Fitness,decide,411.33
PD_21000012,Wrong,Electronics,college,259.37
PD_21000013,Herself,Fitness,model,294.73
PD_21000014,Mean,Fashion,police,244.92
PD_21000015,Direction,Electronics,money,267.6
PD_21000016,Similar,Electronics,point,191.78
PD_21000017,Option,Home Appliance,maybe,82.54
PD_21000018,Yeah,Fitness,successful,391.05
PD_21000019,Today,Books,maybe,48.37
PD_21000020,Six,Fitness,as,418.79
PD_21000021,Table,Books,table,24.6
PD_21000022,Power,Fashion,not,117.1
PD_21000023,Standard,Books,world,425.85
PD_21000024,Direction,Fashion,better,318.24
PD_21000025,Score,Electronics,week,408.98
PD_21000026,Perhaps,Books,range,191.7
PD_21000027,Account,Books,energy,182.88
PD_21000028,Concern,Fashion,common,354.26
PD_21000029,Option,Electronics,leave,356.23
PD_21000030,Single,Electronics,no,255.39
PD_21000031,Get,Books,kind,45.56
PD_21000032,Interview,Electronics,white,15.19
PD_21000033,Along,Electronics,plant,37.86
PD_21000034,Act,Home Appliance,call,490.6
PD_21000035,Billion,Fashion,remain,226.89
PD_21000036,Morning,Fashion,myself,268.12
PD_21000037,Medical,Fashion,capital,342.46
PD_21000038,Near,Books,possible,451.03
PD_21000039,South,Books,run,142.34
PD_21000040,Behind,Books,either,264.64
PD_21000041,Plan,Fitness,land,27.03
PD_21000042,Wear,Electronics,million,176.66
PD_21000043,Somebody,Home Appliance,society,287.95
PD_21000044,Forget,Electronics,quickly,49.39
PD_21000045,Imagine,Electronics,figure,498.07
PD_21000046,Song,Fashion,sit,363.09
PD_21000047,Wife,Electronics,difficult,95.38
PD_21000048,Paper,Fashion,hold,138.61
PD_21000049,Quality,Electronics,laugh,136.78
PD_21000050,Customer,Electronics,feel,358.22
PD_21000051,But,Home Appliance,hear,498.08
PD_21000052,East,Electronics,later,170.87
PD_21000053,Our,Books,west,428.88
PD_21000054,Fear,Books,safe,326.98
PD_21000055,Significant,Home Appliance,ground,217.41
PD_21000056,Shoulder,Electronics,next,410.46
PD_21000057,Special,Home Appliance,finally,478.13
PD_21000058,Language,Fitness,condition,339.21
PD_21000059,Coach,Home Appliance,drug,125.48
PD_21000060,Couple,Fitness,each,310.24
PD_21000061,Bag,Home Appliance,task,415.93
PD_21000062,Must,Home Appliance,price,79.97
PD_21000063,Officer,Home Appliance,maintain,110.9
PD_21000064,Shake,Books,assume,129.04
PD_21000065,Fear,Books,control,285.27
PD_21000066,Wrong,Fitness,dog,375.61
PD_21000067,Event,Fitness,beat,474.56
PD_21000068,Common,Books,pay,226.04
PD_21000069,Financial,Books,local,117.67
PD_21000070,Article,Fashion,case,405.97
PD_21000071,Fast,Fashion,green,375.65
PD_21000072,Technology,Electronics,how,274.11
PD_21000073,Their,Home Appliance,next,112.71
PD_21000074,Until,Books,late,311.14
PD_21000075,Various,Home Appliance,occur,457.98
PD_21000076,Effort,Home Appliance,music,78.79
PD_21000077,Agency,Home Appliance,religious,378.99
PD_21000078,Fall,Electronics,include,321.67
PD_21000079,Evening,Books,hotel,70.4
PD_21000080,Ask,Electronics,grow,89.1
