SD_ID,C_ID,Plan_ID,From_Date,To_Date
SPD_201000001,CS_11007764,Pln_51000002,2024-01-22,2025-08-31
SPD_201000002,CS_11003892,Pln_51000002,2023-10-05,2025-02-09
SPD_201000003,CS_11003766,Pln_51000003,2023-07-10,2024-10-25
SPD_201000004,CS_11000459,Pln_51000001,2023-05-02,2025-05-05
SPD_201000005,CS_11003906,Pln_51000001,2024-07-12,2025-05-08
SPD_201000006,CS_11006978,Pln_51000001,2024-09-06,2024-11-04
SPD_201000007,CS_11007996,Pln_51000001,2024-06-15,2025-01-15
SPD_201000008,CS_11006088,Pln_51000001,2023-11-01,2025-06-23
SPD_201000009,CS_11007630,Pln_51000002,2024-12-06,2024-02-17
SPD_201000010,CS_11001658,Pln_51000003,2023-07-28,2024-01-07
SPD_201000011,CS_11007921,Pln_51000002,2024-11-26,2024-12-13
SPD_201000012,CS_11000373,Pln_51000002,2024-09-07,2025-04-18
SPD_201000013,CS_11000947,Pln_51000002,2024-10-23,2025-09-25
SPD_201000014,CS_11005667,Pln_51000001,2024-10-08,2024-09-18
SPD_201000015,CS_11005118,Pln_51000001,2024-02-01,2025-09-18
SPD_201000016,CS_11005521,Pln_51000001,2023-11-21,2025-12-30
SPD_201000017,CS_11005555,Pln_51000003,2024-05-05,2024-04-18
SPD_201000018,CS_11008095,Pln_51000002,2023-07-01,2024-01-11
SPD_201000019,CS_11001547,Pln_51000003,2023-06-27,2024-03-04
SPD_201000020,CS_11006416,Pln_51000001,2023-05-03,2025-06-23
SPD_201000021,CS_11009963,Pln_51000003,2024-12-18,2024-10-09
SPD_201000022,CS_11004253,Pln_51000003,2024-10-23,2025-07-07
SPD_201000023,CS_11008755,Pln_51000001,2024-08-16,2024-05-06
SPD_201000024,CS_11003729,Pln_51000002,2024-02-09,2025-08-22
SPD_201000025,CS_11009751,Pln_51000001,2024-09-11,2025-11-30
SPD_201000026,CS_11004229,Pln_51000002,2024-08-07,2024-01-26
SPD_201000027,CS_11005165,Pln_51000003,2023-02-11,2025-09-15
SPD_201000028,CS_11003231,Pln_51000003,2023-09-25,2024-12-15
