Tr_ID,Or_ID,Transaction_Mode,Tran_Status
TR_41000001,OR_31002037,Wallet,Failed
TR_41000002,OR_31008376,Wallet,Successful
TR_41000003,OR_31002152,UPI,Failed
TR_41000004,OR_31009239,Credit Card,Successful
TR_41000005,OR_31002891,Debit Card,Failed
TR_41000006,OR_31000512,Net Banking,Failed
TR_41000007,OR_31009237,UPI,Successful
TR_41000008,OR_31005717,Wallet,Successful
TR_41000009,OR_31005308,,Successful
TR_41000010,OR_31008657,Wallet,Failed
TR_41000011,OR_31005972,Debit Card,Failed
TR_41000012,OR_31000290,Credit Card,Failed
TR_41000013,OR_31004075,Net Banking,Successful
TR_41000014,OR_31004131,UPI,Successful
TR_41000015,OR_31006688,UPI,Successful
TR_41000016,OR_31001960,Credit Card,Successful
TR_41000017,OR_31001849,UPI,Failed
TR_41000018,OR_31006738,Net Banking,Failed
TR_41000019,OR_31002757,Credit Card,Successful
TR_41000020,OR_31006495,Debit Card,Successful
TR_41000021,OR_31002724,Credit Card,Successful
TR_41000022,OR_31004864,Debit Card,Failed
TR_41000023,OR_31007254,Net Banking,Successful
TR_41000024,OR_31006322,Credit Card,Failed
TR_41000025,OR_31005636,UPI,Failed
TR_41000026,OR_31008832,UPI,Failed
TR_41000027,OR_31000705,Wallet,Failed
TR_41000028,OR_31003182,,Failed
TR_41000029,OR_31007358,Wallet,Successful
TR_41000030,OR_31006928,Net Banking,Successful
TR_41000031,OR_31000296,Net Banking,Failed
TR_41000032,OR_31009771,Credit Card,Failed
TR_41000033,OR_31000299,UPI,Failed
TR_41000034,OR_31009270,Net Banking,Successful
TR_41000035,OR_31009348,Debit Card,Failed
TR_41000036,OR_31001439,Net Banking,Successful
TR_41000037,OR_31003035,Debit Card,Successful
TR_41000038,OR_31000111,UPI,Successful
TR_41000039,OR_31002732,Net Banking,Successful
TR_41000040,OR_31002743,Net Banking,Successful
TR_41000041,OR_31001409,Credit Card,Failed
TR_41000042,OR_31002385,UPI,Successful
TR_41000043,OR_31000944,Net Banking,Successful
TR_41000044,OR_31009538,UPI,Failed
TR_41000045,OR_31007554,UPI,Successful
TR_41000046,OR_31004582,Wallet,Failed
TR_41000047,OR_31005691,Wallet,Failed
TR_41000048,OR_31006811,Net Banking,Failed
